"Country or Area","Year(s)","Variant","Value"
"Eswatini","2030-2035","Medium","36.52"
"Eswatini","2025-2030","Medium","40.783"
"Eswatini","2020-2025","Medium","46.054"
"Eswatini","2015-2020","Medium","54.415"
"Eswatini","2010-2015","Medium","70.93"
"Eswatini","2005-2010","Medium","111.013"
"Eswatini","2000-2005","Medium","130.639"
"Eswatini","1995-2000","Medium","109.796"
"Eswatini","1990-1995","Medium","75.526"
"Eswatini","1985-1990","Medium","74.689"
"Eswatini","1980-1985","Medium","101.255"
"Eswatini","1975-1980","Medium","136.04"
"Eswatini","1970-1975","Medium","170.988"
"Eswatini","1965-1970","Medium","200.588"
"Eswatini","1960-1965","Medium","220.926"
"Eswatini","1955-1960","Medium","239.752"
"Eswatini","1950-1955","Medium","259.614"
"Ethiopia","2095-2100","Medium","6.619"
"Ethiopia","2090-2095","Medium","7.176"
"Ethiopia","2085-2090","Medium","7.778"
"Ethiopia","2080-2085","Medium","8.481"
"Ethiopia","2075-2080","Medium","9.274"
"Ethiopia","2070-2075","Medium","10.201"
"Ethiopia","2065-2070","Medium","11.273"
"Ethiopia","2060-2065","Medium","12.558"
"Ethiopia","2055-2060","Medium","14.08"
"Ethiopia","2050-2055","Medium","15.928"
"Ethiopia","2045-2050","Medium","18.148"
"Ethiopia","2040-2045","Medium","20.942"
"Ethiopia","2035-2040","Medium","24.453"
"Ethiopia","2030-2035","Medium","29.123"
"Ethiopia","2025-2030","Medium","35.425"
"Ethiopia","2020-2025","Medium","43.985"
"Ethiopia","2015-2020","Medium","54.877"
"Ethiopia","2010-2015","Medium","67.906"
"Ethiopia","2005-2010","Medium","91.198"
"Ethiopia","2000-2005","Medium","122.57"
"Ethiopia","1995-2000","Medium","155.585"
"Ethiopia","1990-1995","Medium","190.405"
"Ethiopia","1985-1990","Medium","212.321"
"Ethiopia","1980-1985","Medium","236.667"
"Ethiopia","1975-1980","Medium","230.32"
"Ethiopia","1970-1975","Medium","236.986"
"Ethiopia","1965-1970","Medium","249.725"
"Ethiopia","1960-1965","Medium","269.81"
"Ethiopia","1955-1960","Medium","304.661"
"Ethiopia","1950-1955","Medium","333.317"
"Europe","2095-2100","Medium","0.939"
"Europe","2090-2095","Medium","1.012"
"Europe","2085-2090","Medium","1.093"
"Europe","2080-2085","Medium","1.182"
"Europe","2075-2080","Medium","1.278"
"Europe","2070-2075","Medium","1.387"
"Europe","2065-2070","Medium","1.508"
"Europe","2060-2065","Medium","1.652"
"Europe","2055-2060","Medium","1.819"
"Europe","2050-2055","Medium","2.015"
"Europe","2045-2050","Medium","2.238"
"Europe","2040-2045","Medium","2.489"
"Europe","2035-2040","Medium","2.777"
"Europe","2030-2035","Medium","3.131"
"Europe","2025-2030","Medium","3.595"
"Europe","2020-2025","Medium","4.18"
"Europe","2015-2020","Medium","5.016"
"Europe","2010-2015","Medium","6.323"
"Europe","2005-2010","Medium","7.775"
"Europe","2000-2005","Medium","10.011"
"Europe","1995-2000","Medium","12.416"
"Europe","1990-1995","Medium","15.171"
"Europe","1985-1990","Medium","18.708"
"Europe","1980-1985","Medium","21.79"
"Europe","1975-1980","Medium","25.653"
"Europe","1970-1975","Medium","29.003"
"Europe","1965-1970","Medium","34.643"
"Europe","1960-1965","Medium","43.634"
"Europe","1955-1960","Medium","62.051"
"Europe","1950-1955","Medium","93.379"
"Europe","2095-2100","Medium","0.939"
"Europe","2090-2095","Medium","1.012"
"Europe","2085-2090","Medium","1.093"
"Europe","2080-2085","Medium","1.182"
"Europe","2075-2080","Medium","1.278"
"Europe","2070-2075","Medium","1.387"
"Europe","2065-2070","Medium","1.508"
"Europe","2060-2065","Medium","1.652"
"Europe","2055-2060","Medium","1.819"
"Europe","2050-2055","Medium","2.015"
"Europe","2045-2050","Medium","2.238"
"Europe","2040-2045","Medium","2.489"
"Europe","2035-2040","Medium","2.777"
"Europe","2030-2035","Medium","3.131"
"Europe","2025-2030","Medium","3.595"
"Europe","2020-2025","Medium","4.18"
"Europe","2015-2020","Medium","5.016"
"Europe","2010-2015","Medium","6.323"
"Europe","2005-2010","Medium","7.775"
"Europe","2000-2005","Medium","10.011"
"Europe","1995-2000","Medium","12.416"
"Europe","1990-1995","Medium","15.171"
"Europe","1985-1990","Medium","18.708"
"Europe","1980-1985","Medium","21.79"
"Europe","1975-1980","Medium","25.653"
"Europe","1970-1975","Medium","29.003"
"Europe","1965-1970","Medium","34.643"
"Europe","1960-1965","Medium","43.634"
"Europe","1955-1960","Medium","62.051"
"Europe","1950-1955","Medium","93.379"
"Europe and Northern America","2095-2100","Medium","1.298"
"Europe and Northern America","2090-2095","Medium","1.389"
"Europe and Northern America","2085-2090","Medium","1.485"
"Europe and Northern America","2080-2085","Medium","1.588"
"Europe and Northern America","2075-2080","Medium","1.703"
"Europe and Northern America","2070-2075","Medium","1.833"
"Europe and Northern America","2065-2070","Medium","1.98"
"Europe and Northern America","2060-2065","Medium","2.147"
"Europe and Northern America","2055-2060","Medium","2.331"
"Europe and Northern America","2050-2055","Medium","2.541"
"Europe and Northern America","2045-2050","Medium","2.791"
"Europe and Northern America","2040-2045","Medium","3.096"
"Europe and Northern America","2035-2040","Medium","3.459"
"Europe and Northern America","2030-2035","Medium","3.893"
"Europe and Northern America","2025-2030","Medium","4.556"
"Europe and Northern America","2020-2025","Medium","5.175"
"Europe and Northern America","2015-2020","Medium","5.61"
"Europe and Northern America","2010-2015","Medium","6.5"
"Europe and Northern America","2005-2010","Medium","7.77"
"Europe and Northern America","2000-2005","Medium","9.297"
"Europe and Northern America","1995-2000","Medium","11.058"
"Europe and Northern America","1990-1995","Medium","13.455"
"Europe and Northern America","1985-1990","Medium","16.685"
"Europe and Northern America","1980-1985","Medium","19.42"
"Europe and Northern America","1975-1980","Medium","23.229"
"Europe and Northern America","1970-1975","Medium","26.85"
"Europe and Northern America","1965-1970","Medium","32.271"
"Europe and Northern America","1960-1965","Medium","39.643"
"Europe and Northern America","1955-1960","Medium","53.731"
"Europe and Northern America","1950-1955","Medium","78.138"
"Falkland Islands (Malvinas)","2095-2100","Medium",""
"Falkland Islands (Malvinas)","2090-2095","Medium",""
"Falkland Islands (Malvinas)","2085-2090","Medium",""
"Falkland Islands (Malvinas)","2080-2085","Medium",""
"Falkland Islands (Malvinas)","2075-2080","Medium",""
"Falkland Islands (Malvinas)","2070-2075","Medium",""
"Falkland Islands (Malvinas)","2065-2070","Medium",""
"Falkland Islands (Malvinas)","2060-2065","Medium",""
"Falkland Islands (Malvinas)","2055-2060","Medium",""
"Falkland Islands (Malvinas)","2050-2055","Medium",""
"Falkland Islands (Malvinas)","2045-2050","Medium",""
"Falkland Islands (Malvinas)","2040-2045","Medium",""
"Falkland Islands (Malvinas)","2035-2040","Medium",""
"Falkland Islands (Malvinas)","2030-2035","Medium",""
"Falkland Islands (Malvinas)","2025-2030","Medium",""
"Falkland Islands (Malvinas)","2020-2025","Medium",""
"Falkland Islands (Malvinas)","2015-2020","Medium",""
"Falkland Islands (Malvinas)","2010-2015","Medium",""
"Falkland Islands (Malvinas)","2005-2010","Medium",""
"Falkland Islands (Malvinas)","2000-2005","Medium",""
"Falkland Islands (Malvinas)","1995-2000","Medium",""
"Falkland Islands (Malvinas)","1990-1995","Medium",""
"Falkland Islands (Malvinas)","1985-1990","Medium",""
"Falkland Islands (Malvinas)","1980-1985","Medium",""
"Falkland Islands (Malvinas)","1975-1980","Medium",""
"Falkland Islands (Malvinas)","1970-1975","Medium",""
"Falkland Islands (Malvinas)","1965-1970","Medium",""
"Falkland Islands (Malvinas)","1960-1965","Medium",""
"Falkland Islands (Malvinas)","1955-1960","Medium",""
"Falkland Islands (Malvinas)","1950-1955","Medium",""
"Faroe Islands","2095-2100","Medium",""
"Faroe Islands","2090-2095","Medium",""
"Faroe Islands","2085-2090","Medium",""
"Faroe Islands","2080-2085","Medium",""
"Faroe Islands","2075-2080","Medium",""
"Faroe Islands","2070-2075","Medium",""
"Faroe Islands","2065-2070","Medium",""
"Faroe Islands","2060-2065","Medium",""
"Faroe Islands","2055-2060","Medium",""
"Faroe Islands","2050-2055","Medium",""
"Faroe Islands","2045-2050","Medium",""
"Faroe Islands","2040-2045","Medium",""
"Faroe Islands","2035-2040","Medium",""
"Faroe Islands","2030-2035","Medium",""
"Faroe Islands","2025-2030","Medium",""
"Faroe Islands","2020-2025","Medium",""
"Faroe Islands","2015-2020","Medium",""
"Faroe Islands","2010-2015","Medium",""
"Faroe Islands","2005-2010","Medium",""
"Faroe Islands","2000-2005","Medium",""
"Faroe Islands","1995-2000","Medium",""
"Faroe Islands","1990-1995","Medium",""
"Faroe Islands","1985-1990","Medium",""
"Faroe Islands","1980-1985","Medium",""
"Faroe Islands","1975-1980","Medium",""
"Faroe Islands","1970-1975","Medium",""
"Faroe Islands","1965-1970","Medium",""
"Faroe Islands","1960-1965","Medium",""
"Faroe Islands","1955-1960","Medium",""
"Faroe Islands","1950-1955","Medium",""
"Fiji","2095-2100","Medium","6.696"
"Fiji","2090-2095","Medium","7.051"
"Fiji","2085-2090","Medium","7.446"
"Fiji","2080-2085","Medium","7.874"
"Fiji","2075-2080","Medium","8.334"
"Fiji","2070-2075","Medium","8.886"
"Fiji","2065-2070","Medium","9.496"
"Fiji","2060-2065","Medium","10.169"
"Fiji","2055-2060","Medium","10.907"
"Fiji","2050-2055","Medium","11.788"
"Fiji","2045-2050","Medium","12.794"
"Fiji","2040-2045","Medium","13.979"
"Fiji","2035-2040","Medium","15.395"
"Fiji","2030-2035","Medium","17.097"
"Fiji","2025-2030","Medium","19.698"
"Fiji","2020-2025","Medium","22.051"
"Fiji","2015-2020","Medium","24.62"
"Fiji","2010-2015","Medium","24.157"
"Fiji","2005-2010","Medium","23.701"
"Fiji","2000-2005","Medium","22.722"
"Fiji","1995-2000","Medium","23.794"
"Fiji","1990-1995","Medium","26.766"
"Fiji","1985-1990","Medium","32.029"
"Fiji","1980-1985","Medium","39.381"
"Fiji","1975-1980","Medium","49.499"
"Fiji","1970-1975","Medium","55.81"
"Fiji","1965-1970","Medium","59.82"
"Fiji","1960-1965","Medium","69.475"
"Fiji","1955-1960","Medium","87.681"
"Fiji","1950-1955","Medium","120.144"
"Finland","2095-2100","Medium","0.352"
"Finland","2090-2095","Medium","0.391"
"Finland","2085-2090","Medium","0.433"
"Finland","2080-2085","Medium","0.48"
"Finland","2075-2080","Medium","0.531"
"Finland","2070-2075","Medium","0.586"
"Finland","2065-2070","Medium","0.647"
"Finland","2060-2065","Medium","0.716"
"Finland","2055-2060","Medium","0.793"
"Finland","2050-2055","Medium","0.878"
"Finland","2045-2050","Medium","0.98"
"Finland","2040-2045","Medium","1.094"
"Finland","2035-2040","Medium","1.227"
"Finland","2030-2035","Medium","1.382"
"Finland","2025-2030","Medium","1.576"
"Finland","2020-2025","Medium","1.834"
"Finland","2015-2020","Medium","2.189"
"Finland","2010-2015","Medium","2.679"
"Finland","2005-2010","Medium","3.38"
"Finland","2000-2005","Medium","3.985"
"Finland","1995-2000","Medium","4.681"
"Finland","1990-1995","Medium","5.913"
"Finland","1985-1990","Medium","7.164"
"Finland","1980-1985","Medium","7.712"
"Finland","1975-1980","Medium","10.409"
"Finland","1970-1975","Medium","14.126"
"Finland","1965-1970","Medium","18.004"
"Finland","1960-1965","Medium","23.198"
"Finland","1955-1960","Medium","31.361"
"Finland","1950-1955","Medium","40.435"
"France","2095-2100","Medium","0.773"
"France","2090-2095","Medium","0.844"
"France","2085-2090","Medium","0.922"
"France","2080-2085","Medium","1.004"
"France","2075-2080","Medium","1.095"
"France","2070-2075","Medium","1.195"
"France","2065-2070","Medium","1.3"
"France","2060-2065","Medium","1.42"
"France","2055-2060","Medium","1.552"
"France","2050-2055","Medium","1.697"
"France","2045-2050","Medium","1.863"
"France","2040-2045","Medium","2.054"
"France","2035-2040","Medium","2.263"
"France","2030-2035","Medium","2.513"
"France","2025-2030","Medium","2.845"
"France","2020-2025","Medium","3.202"
"France","2015-2020","Medium","3.627"
"France","2010-2015","Medium","4.154"
"France","2005-2010","Medium","4.491"
"France","2000-2005","Medium","5.127"
"France","1995-2000","Medium","5.76"
"France","1990-1995","Medium","7.91"
"France","1985-1990","Medium","9.579"
"France","1980-1985","Medium","11.37"
"France","1975-1980","Medium","13.99"
"France","1970-1975","Medium","18.748"
"France","1965-1970","Medium","23.722"
"France","1960-1965","Medium","29.1"
"France","1955-1960","Medium","38.282"
"France","1950-1955","Medium","52.296"
"French Guiana","2095-2100","Medium","2.684"
"French Guiana","2090-2095","Medium","2.91"
"French Guiana","2085-2090","Medium","3.147"
"French Guiana","2080-2085","Medium","3.405"
"French Guiana","2075-2080","Medium","3.676"
"French Guiana","2070-2075","Medium","3.969"
"French Guiana","2065-2070","Medium","4.279"
"French Guiana","2060-2065","Medium","4.609"
"French Guiana","2055-2060","Medium","4.965"
"French Guiana","2050-2055","Medium","5.357"
"French Guiana","2045-2050","Medium","5.777"
"French Guiana","2040-2045","Medium","6.237"
"French Guiana","2035-2040","Medium","6.756"
"French Guiana","2030-2035","Medium","7.365"
"French Guiana","2025-2030","Medium","8.24"
"French Guiana","2020-2025","Medium","9.079"
"French Guiana","2015-2020","Medium","10.052"
"French Guiana","2010-2015","Medium","10.533"
"French Guiana","2005-2010","Medium","12.186"
"French Guiana","2000-2005","Medium","15.307"
"French Guiana","1995-2000","Medium","19.737"
"French Guiana","1990-1995","Medium","24.414"
"French Guiana","1985-1990","Medium","30.209"
"French Guiana","1980-1985","Medium","38.857"
"French Guiana","1975-1980","Medium","53.602"
"French Guiana","1970-1975","Medium","58.06"
"French Guiana","1965-1970","Medium","66.421"
"French Guiana","1960-1965","Medium","100.496"
"French Guiana","1955-1960","Medium","125.591"
"French Guiana","1950-1955","Medium","148.026"
"French Polynesia","2095-2100","Medium","1.667"
"French Polynesia","2090-2095","Medium","1.779"
"French Polynesia","2085-2090","Medium","1.903"
"French Polynesia","2080-2085","Medium","2.033"
"French Polynesia","2075-2080","Medium","2.176"
"French Polynesia","2070-2075","Medium","2.33"
"French Polynesia","2065-2070","Medium","2.498"
"French Polynesia","2060-2065","Medium","2.693"
"French Polynesia","2055-2060","Medium","2.905"
"French Polynesia","2050-2055","Medium","3.151"
"French Polynesia","2045-2050","Medium","3.438"
"French Polynesia","2040-2045","Medium","3.775"
"French Polynesia","2035-2040","Medium","4.166"
"French Polynesia","2030-2035","Medium","4.699"
"French Polynesia","2025-2030","Medium","5.339"
"French Polynesia","2020-2025","Medium","6.123"
"French Polynesia","2015-2020","Medium","7.225"
"French Polynesia","2010-2015","Medium","7.579"
"French Polynesia","2005-2010","Medium","9.602"
"French Polynesia","2000-2005","Medium","10.243"
"French Polynesia","1995-2000","Medium","11.41"
"French Polynesia","1990-1995","Medium","19.672"
"French Polynesia","1985-1990","Medium","21.526"
"French Polynesia","1980-1985","Medium","37.294"
"French Polynesia","1975-1980","Medium","62.304"
"French Polynesia","1970-1975","Medium","75.741"
"French Polynesia","1965-1970","Medium","84.603"
"French Polynesia","1960-1965","Medium","95.282"
"French Polynesia","1955-1960","Medium","107.499"
"French Polynesia","1950-1955","Medium","141.723"
"Gabon","2095-2100","Medium","13.242"
"Gabon","2090-2095","Medium","13.935"
"Gabon","2085-2090","Medium","14.653"
"Gabon","2080-2085","Medium","15.49"
"Gabon","2075-2080","Medium","16.492"
"Gabon","2070-2075","Medium","17.582"
"Gabon","2065-2070","Medium","18.829"
"Gabon","2060-2065","Medium","20.153"
"Gabon","2055-2060","Medium","21.75"
"Gabon","2050-2055","Medium","23.511"
"Gabon","2045-2050","Medium","25.516"
"Gabon","2040-2045","Medium","27.911"
"Gabon","2035-2040","Medium","30.75"
"Gabon","2030-2035","Medium","34.056"
"Gabon","2025-2030","Medium","37.866"
"Gabon","2020-2025","Medium","42.25"
"Gabon","2015-2020","Medium","47.942"
"Gabon","2010-2015","Medium","57.702"
"Gabon","2005-2010","Medium","71.41"
"Gabon","2000-2005","Medium","86.187"
"Gabon","1995-2000","Medium","88.01"
"Gabon","1990-1995","Medium","90.739"
"Gabon","1985-1990","Medium","96.502"
"Gabon","1980-1985","Medium","123.075"
"Gabon","1975-1980","Medium","154.564"
"Gabon","1970-1975","Medium","189.438"
"Gabon","1965-1970","Medium","226.746"
"Gabon","1960-1965","Medium","265.694"
"Gabon","1955-1960","Medium","280.542"
"Gabon","1950-1955","Medium","301.386"
"Gambia","2095-2100","Medium","15.893"
"Gambia","2090-2095","Medium","16.73"
"Gambia","2085-2090","Medium","17.603"
"Gambia","2080-2085","Medium","18.539"
"Gambia","2075-2080","Medium","19.57"
"Gambia","2070-2075","Medium","20.812"
"Gambia","2065-2070","Medium","22.31"
"Gambia","2060-2065","Medium","24.053"
"Gambia","2055-2060","Medium","26.135"
"Gambia","2050-2055","Medium","28.614"
"Gambia","2045-2050","Medium","31.581"
"Gambia","2040-2045","Medium","35.198"
"Gambia","2035-2040","Medium","39.334"
"Gambia","2030-2035","Medium","44.293"
"Gambia","2025-2030","Medium","50.354"
"Gambia","2020-2025","Medium","57.753"
"Gambia","2015-2020","Medium","67.77"
"Gambia","2010-2015","Medium","75.224"
"Gambia","2005-2010","Medium","87.53"
"Gambia","2000-2005","Medium","106.393"
"Gambia","1995-2000","Medium","128.268"
"Gambia","1990-1995","Medium","153.296"
"Gambia","1985-1990","Medium","174.886"
"Gambia","1980-1985","Medium","199.919"
"Gambia","1975-1980","Medium","232.01"
"Gambia","1970-1975","Medium","267.464"
"Gambia","1965-1970","Medium","306.219"
"Gambia","1960-1965","Medium","350.942"
"Gambia","1955-1960","Medium","366.382"
"Gambia","1950-1955","Medium","382.721"
"Geographic regions","2095-2100","Medium",""
"Geographic regions","2090-2095","Medium",""
"Geographic regions","2085-2090","Medium",""
"Geographic regions","2080-2085","Medium",""
"Geographic regions","2075-2080","Medium",""
"Geographic regions","2070-2075","Medium",""
"Geographic regions","2065-2070","Medium",""
"Geographic regions","2060-2065","Medium",""
"Geographic regions","2055-2060","Medium",""
"Geographic regions","2050-2055","Medium",""
"Geographic regions","2045-2050","Medium",""
"Geographic regions","2040-2045","Medium",""
"Geographic regions","2035-2040","Medium",""
"Geographic regions","2030-2035","Medium",""
"Geographic regions","2025-2030","Medium",""
"Geographic regions","2020-2025","Medium",""
"Geographic regions","2015-2020","Medium",""
"Geographic regions","2010-2015","Medium",""
"Geographic regions","2005-2010","Medium",""
"Geographic regions","2000-2005","Medium",""
"Geographic regions","1995-2000","Medium",""
"Geographic regions","1990-1995","Medium",""
"Geographic regions","1985-1990","Medium",""
"Geographic regions","1980-1985","Medium",""
"Geographic regions","1975-1980","Medium",""
"Geographic regions","1970-1975","Medium",""
"Geographic regions","1965-1970","Medium",""
"Geographic regions","1960-1965","Medium",""
"Geographic regions","1955-1960","Medium",""
"Geographic regions","1950-1955","Medium",""
"Georgia","2095-2100","Medium","1.538"
"Georgia","2090-2095","Medium","1.656"
"Georgia","2085-2090","Medium","1.79"
"Georgia","2080-2085","Medium","1.947"
"Georgia","2075-2080","Medium","2.131"
"Georgia","2070-2075","Medium","2.348"
"Georgia","2065-2070","Medium","2.605"
"Georgia","2060-2065","Medium","2.911"
"Georgia","2055-2060","Medium","3.274"
"Georgia","2050-2055","Medium","3.693"
"Georgia","2045-2050","Medium","4.205"
"Georgia","2040-2045","Medium","4.806"
"Georgia","2035-2040","Medium","5.499"
"Georgia","2030-2035","Medium","6.335"
"Georgia","2025-2030","Medium","7.355"
"Georgia","2020-2025","Medium","8.594"
"Georgia","2015-2020","Medium","10.155"
"Georgia","2010-2015","Medium","14.519"
"Georgia","2005-2010","Medium","20.795"
"Georgia","2000-2005","Medium","30.527"
"Georgia","1995-2000","Medium","39.404"
"Georgia","1990-1995","Medium","48.99"
"Georgia","1985-1990","Medium","46.434"
"Georgia","1980-1985","Medium","49.5"
"Georgia","1975-1980","Medium","52.141"
"Georgia","1970-1975","Medium","55.706"
"Georgia","1965-1970","Medium","63.716"
"Georgia","1960-1965","Medium","72.341"
"Georgia","1955-1960","Medium","81.169"
"Georgia","1950-1955","Medium","90.237"
"Germany","2095-2100","Medium","0.863"
"Germany","2090-2095","Medium","0.914"
"Germany","2085-2090","Medium","0.965"
"Germany","2080-2085","Medium","1.018"
"Germany","2075-2080","Medium","1.078"
"Germany","2070-2075","Medium","1.143"
"Germany","2065-2070","Medium","1.21"
"Germany","2060-2065","Medium","1.287"
"Germany","2055-2060","Medium","1.37"
"Germany","2050-2055","Medium","1.463"
"Germany","2045-2050","Medium","1.574"
"Germany","2040-2045","Medium","1.697"
"Germany","2035-2040","Medium","1.848"
"Germany","2030-2035","Medium","2.036"
"Germany","2025-2030","Medium","2.279"
"Germany","2020-2025","Medium","2.6"
"Germany","2015-2020","Medium","3.805"
"Germany","2010-2015","Medium","4.005"
"Germany","2005-2010","Medium","4.43"
"Germany","2000-2005","Medium","5.07"
"Germany","1995-2000","Medium","5.836"
"Germany","1990-1995","Medium","7.416"
"Germany","1985-1990","Medium","10.034"
"Germany","1980-1985","Medium","13.293"
"Germany","1975-1980","Medium","18.298"
"Germany","1970-1975","Medium","24.218"
"Germany","1965-1970","Medium","26.693"
"Germany","1960-1965","Medium","35.118"
"Germany","1955-1960","Medium","44.513"
"Germany","1950-1955","Medium","54.706"
"Ghana","2095-2100","Medium","13.546"
"Ghana","2090-2095","Medium","14.081"
"Ghana","2085-2090","Medium","14.688"
"Ghana","2080-2085","Medium","15.398"
"Ghana","2075-2080","Medium","16.207"
"Ghana","2070-2075","Medium","17.106"
"Ghana","2065-2070","Medium","18.127"
"Ghana","2060-2065","Medium","19.351"
"Ghana","2055-2060","Medium","20.814"
"Ghana","2050-2055","Medium","22.538"
"Ghana","2045-2050","Medium","24.755"
"Ghana","2040-2045","Medium","27.377"
"Ghana","2035-2040","Medium","30.777"
"Ghana","2030-2035","Medium","34.685"
"Ghana","2025-2030","Medium","39.274"
"Ghana","2020-2025","Medium","44.693"
"Ghana","2015-2020","Medium","51.64"
"Ghana","2010-2015","Medium","65.555"
"Ghana","2005-2010","Medium","82.258"
"Ghana","2000-2005","Medium","93.621"
"Ghana","1995-2000","Medium","104.26"
"Ghana","1990-1995","Medium","114.302"
"Ghana","1985-1990","Medium","132.736"
"Ghana","1980-1985","Medium","150.797"
"Ghana","1975-1980","Medium","162.963"
"Ghana","1970-1975","Medium","176.667"
"Ghana","1965-1970","Medium","189.272"
"Ghana","1960-1965","Medium","205.399"
"Ghana","1955-1960","Medium","225.869"
"Ghana","1950-1955","Medium","249.35"
"Gibraltar","2095-2100","Medium",""
"Gibraltar","2090-2095","Medium",""
"Gibraltar","2085-2090","Medium",""
"Gibraltar","2080-2085","Medium",""
"Gibraltar","2075-2080","Medium",""
"Gibraltar","2070-2075","Medium",""
"Gibraltar","2065-2070","Medium",""
"Gibraltar","2060-2065","Medium",""
"Gibraltar","2055-2060","Medium",""
"Gibraltar","2050-2055","Medium",""
"Gibraltar","2045-2050","Medium",""
"Gibraltar","2040-2045","Medium",""
"Gibraltar","2035-2040","Medium",""
"Gibraltar","2030-2035","Medium",""
"Gibraltar","2025-2030","Medium",""
"Gibraltar","2020-2025","Medium",""
"Gibraltar","2015-2020","Medium",""
"Gibraltar","2010-2015","Medium",""
"Gibraltar","2005-2010","Medium",""
"Gibraltar","2000-2005","Medium",""
"Gibraltar","1995-2000","Medium",""
"Gibraltar","1990-1995","Medium",""
"Gibraltar","1985-1990","Medium",""
"Gibraltar","1980-1985","Medium",""
"Gibraltar","1975-1980","Medium",""
"Gibraltar","1970-1975","Medium",""
"Gibraltar","1965-1970","Medium",""
"Gibraltar","1960-1965","Medium",""
"Gibraltar","1955-1960","Medium",""
"Gibraltar","1950-1955","Medium",""
"Greece","2095-2100","Medium","0.665"
"Greece","2090-2095","Medium","0.724"
"Greece","2085-2090","Medium","0.789"
"Greece","2080-2085","Medium","0.864"
"Greece","2075-2080","Medium","0.943"
"Greece","2070-2075","Medium","1.029"
"Greece","2065-2070","Medium","1.129"
"Greece","2060-2065","Medium","1.239"
"Greece","2055-2060","Medium","1.364"
"Greece","2050-2055","Medium","1.506"
"Greece","2045-2050","Medium","1.667"
"Greece","2040-2045","Medium","1.856"
"Greece","2035-2040","Medium","2.073"
"Greece","2030-2035","Medium","2.344"
"Greece","2025-2030","Medium","2.666"
"Greece","2020-2025","Medium","3.116"
"Greece","2015-2020","Medium","3.318"
"Greece","2010-2015","Medium","3.835"
"Greece","2005-2010","Medium","4.19"
"Greece","2000-2005","Medium","5.316"
"Greece","1995-2000","Medium","7.671"
"Greece","1990-1995","Medium","9.464"
"Greece","1985-1990","Medium","13.076"
"Greece","1980-1985","Medium","16.471"
"Greece","1975-1980","Medium","23.426"
"Greece","1970-1975","Medium","28.232"
"Greece","1965-1970","Medium","38.025"
"Greece","1960-1965","Medium","44.473"
"Greece","1955-1960","Medium","50.498"
"Greece","1950-1955","Medium","58.002"
"Greenland","2095-2100","Medium",""
"Greenland","2090-2095","Medium",""
"Greenland","2085-2090","Medium",""
"Greenland","2080-2085","Medium",""
"Greenland","2075-2080","Medium",""
"Greenland","2070-2075","Medium",""
"Greenland","2065-2070","Medium",""
"Greenland","2060-2065","Medium",""
"Greenland","2055-2060","Medium",""
"Greenland","2050-2055","Medium",""
"Greenland","2045-2050","Medium",""
"Greenland","2040-2045","Medium",""
"Greenland","2035-2040","Medium",""
"Greenland","2030-2035","Medium",""
"Greenland","2025-2030","Medium",""
"Greenland","2020-2025","Medium",""
"Greenland","2015-2020","Medium",""
"Greenland","2010-2015","Medium",""
"Greenland","2005-2010","Medium",""
"Greenland","2000-2005","Medium",""
"Greenland","1995-2000","Medium",""
"Greenland","1990-1995","Medium",""
"Greenland","1985-1990","Medium",""
"Greenland","1980-1985","Medium",""
"Greenland","1975-1980","Medium",""
"Greenland","1970-1975","Medium",""
"Greenland","1965-1970","Medium",""
"Greenland","1960-1965","Medium",""
"Greenland","1955-1960","Medium",""
"Greenland","1950-1955","Medium",""
"Grenada","2095-2100","Medium","3.635"
"Grenada","2090-2095","Medium","3.904"
"Grenada","2085-2090","Medium","4.203"
"Grenada","2080-2085","Medium","4.541"
"Grenada","2075-2080","Medium","4.903"
"Grenada","2070-2075","Medium","5.327"
"Grenada","2065-2070","Medium","5.796"
"Grenada","2060-2065","Medium","6.354"
"Grenada","2055-2060","Medium","6.981"
"Grenada","2050-2055","Medium","7.717"
"Grenada","2045-2050","Medium","8.537"
"Grenada","2040-2045","Medium","9.47"
"Grenada","2035-2040","Medium","10.51"
"Grenada","2030-2035","Medium","11.709"
"Grenada","2025-2030","Medium","14.146"
"Grenada","2020-2025","Medium","15.816"
"Grenada","2015-2020","Medium","16.436"
"Grenada","2010-2015","Medium","15.233"
"Grenada","2005-2010","Medium","14.053"
"Grenada","2000-2005","Medium","14.817"
"Grenada","1995-2000","Medium","16.956"
"Grenada","1990-1995","Medium","20.751"
"Grenada","1985-1990","Medium","25.41"
"Grenada","1980-1985","Medium","30.014"
"Grenada","1975-1980","Medium","42.485"
"Grenada","1970-1975","Medium","55.761"
"Grenada","1965-1970","Medium","69.195"
"Grenada","1960-1965","Medium","86.688"
"Grenada","1955-1960","Medium","107.339"
"Grenada","1950-1955","Medium","127.116"
"Guadeloupe","2095-2100","Medium","1.563"
"Guadeloupe","2090-2095","Medium","1.661"
"Guadeloupe","2085-2090","Medium","1.767"
"Guadeloupe","2080-2085","Medium","1.876"
"Guadeloupe","2075-2080","Medium","1.995"
"Guadeloupe","2070-2075","Medium","2.119"
"Guadeloupe","2065-2070","Medium","2.253"
"Guadeloupe","2060-2065","Medium","2.398"
"Guadeloupe","2055-2060","Medium","2.556"
"Guadeloupe","2050-2055","Medium","2.733"
"Guadeloupe","2045-2050","Medium","2.923"
